bf_cc,bf_bb,bf_qx,bf_zf,cc_bb,cc_qx,cc_zf,bb_qx,bb_zf,qx_zf
-479.0,-156.0,487.8,-195.0,519.0,1162.8,480.0,709.8,27.0,-475.0
-385.0,-62.0,481.99,-101.0,519.0,1062.99,480.0,609.99,27.0,-475.0
-385.0,-62.0,478.97,-106.0,519.0,1059.97,475.0,606.97,22.0,-480.0
-463.0,-140.0,399.94,-184.0,519.0,1058.94,475.0,605.94,22.0,-480.0
-464.0,-146.0,398.93,-185.0,514.0,1058.93,475.0,605.93,22.0,-480.0
-854.0,-146.0,396.91,-190.0,716.0,1258.91,672.0,603.91,17.0,-485.0
-853.0,-429.0,397.9,-189.0,432.0,1258.9,672.0,751.9,165.0,-484.0
-777.0,-178.0,473.9,-113.0,607.0,1258.9,672.0,818.9,232.0,-484.0
-777.0,-178.0,472.9,-113.0,607.0,1257.9,672.0,755.9,170.0,-485.0
-689.0,-91.0,535.64,-25.0,606.0,1232.64,672.0,740.64,180.0,-137.91
-689.0,-95.0,533.66,-30.0,602.0,1230.66,667.0,789.66,226.0,-142.92
-687.0,-93.0,527.64,-68.0,602.0,1222.64,627.0,781.64,186.0,-182.92
-679.0,-90.0,535.64,-60.0,597.0,1222.64,627.0,781.64,186.0,-182.92
-679.0,-95.0,533.63,-65.0,592.0,1220.63,622.0,779.63,181.0,-189.94
-423.0,171.0,781.61,116.0,602.0,1212.61,547.0,615.61,-50.0,-266.93
-423.0,171.0,781.61,116.0,602.0,1212.61,547.0,761.61,96.0,-266.93
-423.0,128.0,781.61,111.0,559.0,1212.61,542.0,761.61,91.0,-271.93
-443.0,123.0,752.6,1.0,843.0,1472.6,721.0,743.6,-8.0,-436.09
-443.0,123.0,752.6,1.0,843.0,1472.6,721.0,743.6,-8.0,-436.09
-444.0,122.0,744.57,-5.0,843.0,1465.57,716.0,736.57,-13.0,-443.11
-444.0,8.0,736.54,-5.0,729.0,1457.54,716.0,856.54,115.0,-444.11
-444.0,8.0,736.54,-5.0,729.0,1457.54,716.0,856.54,115.0,-444.11
